Date,Close/Last,Volume,Open,High,Low,Day
09/23/2021,16.56,39889,16.36,17.52,16.18,269
09/24/2021,16.34,81736,17.33,17.42,15.76,270
09/27/2021,17.42,59838,17.70,18.60,17.21,271
09/28/2021,17.64,104905,17.82,18.00,15.96,272
09/29/2021,17.66,113612,18.84,19.80,17.40,273
09/30/2021,18.74,60083,19.78,19.78,18.72,274
10/01/2021,19.33,148579,19.60,20.83,19.21,275
10/04/2021,19.50,82998,19.45,20.14,19.08,276
10/05/2021,19.94,98872,20.64,22.50,19.80,277
10/06/2021,20.52,62022,20.57,21.41,20.11,278
10/07/2021,20.53,90211,20.11,21.19,19.20,279
10/08/2021,20.22,101435,22.79,23.32,19.44,280
10/11/2021,21.31,177106,22.80,24.66,21.01,281
10/12/2021,22.66,214442,19.75,23.00,19.20,282
10/13/2021,19.09,151205,20.88,21.11,18.60,283
10/14/2021,20.77,202551,23.02,24.60,20.66,284
10/15/2021,21.20,195277,24.06,24.24,20.40,285
10/18/2021,24.05,196897,28.98,29.66,24.00,286
10/19/2021,27.71,215566,31.73,31.79,27.60,287
10/20/2021,31.09,217705,36.00,38.05,30.16,288
10/21/2021,40.20,111063,41.03,45.00,39.64,289
10/22/2021,40.73,255216,41.23,53.33,39.18,290
10/25/2021,41.51,172656,42.94,47.16,39.18,291
10/26/2021,43.70,277603,30.73,46.00,30.72,292
10/27/2021,30.68,87309,33.70,35.64,30.46,293
10/28/2021,33.96,97853,33.00,35.52,32.42,294
10/29/2021,33.00,104084,32.48,34.32,31.72,295
11/01/2021,32.04,137623,32.28,34.80,31.56,296
11/02/2021,31.43,104338,28.92,33.96,28.92,297
11/03/2021,31.62,135287,30.05,34.20,28.44,298
11/04/2021,30.48,130684,30.58,31.76,26.88,299
11/05/2021,30.90,241505,37.20,39.84,30.74,300
11/08/2021,35.52,744918,30.00,43.80,28.93,301
11/09/2021,30.32,108274,31.32,32.38,30.00,302
11/10/2021,31.92,117422,36.60,37.79,31.69,303
11/11/2021,37.21,88820,42.61,43.20,37.20,304
11/12/2021,42.76,83810,46.15,47.21,40.94,305
11/15/2021,45.53,109414,45.85,45.88,40.80,306
11/16/2021,46.44,109010,54.89,54.90,45.00,307
11/17/2021,54.00,56125,52.80,55.98,52.80,308
11/18/2021,54.12,46995,56.40,56.70,53.94,309
11/19/2021,53.29,83257,59.88,59.88,52.80,310
11/22/2021,59.57,62912,63.54,65.40,59.40,311
11/23/2021,58.81,42227,61.32,62.35,58.21,312
11/24/2021,61.20,83275,66.32,67.78,56.40,313
11/26/2021,66.83,66935,69.60,70.37,65.18,314
11/29/2021,68.14,137234,63.23,76.32,62.65,315
11/30/2021,62.65,112515,79.20,79.21,62.41,316
12/01/2021,81.00,109560,99.00,99.00,79.61,317
12/02/2021,99.43,29799,103.60,107.99,93.60,318
12/03/2021,105.13,53514,94.80,106.02,94.80,319
12/06/2021,94.80,76254,116.40,117.00,92.41,320
12/07/2021,113.05,37890,128.40,132.00,112.01,321
12/08/2021,127.20,17141,127.20,134.40,125.99,322
12/09/2021,127.80,19521,124.80,130.80,121.20,323
12/10/2021,123.00,42468,140.40,140.40,121.20,324
12/13/2021,134.40,32190,133.20,141.60,132.01,325
12/14/2021,133.20,24584,128.40,134.40,127.83,326
12/15/2021,127.20,20616,127.20,128.40,124.80,327
12/16/2021,127.20,17534,129.60,130.80,126.00,328
12/17/2021,128.40,35831,130.80,133.20,123.60,329
12/20/2021,126.00,21838,129.60,130.20,123.60,330
12/21/2021,128.40,37956,128.40,134.40,123.60,331
12/22/2021,126.60,27553,127.20,130.20,123.60,332
12/23/2021,126.00,49430,138.00,139.20,123.60,333
12/27/2021,132.60,24918,134.40,138.60,132.00,334
12/28/2021,140.40,60413,144.00,148.80,127.20,335
12/29/2021,141.60,137381,194.40,206.40,138.00,336
12/30/2021,208.80,169406,153.60,210.00,148.80,337
12/31/2021,165.60,106290,133.20,166.80,132.00,338
01/03/2022,129.60,38310,133.20,139.20,127.20,339
01/04/2022,126.00,22287,129.60,132.00,123.60,340
01/05/2022,132.00,22366,138.00,138.00,130.80,341
01/06/2022,135.60,42475,146.40,147.48,129.60,342
01/07/2022,145.20,44597,136.80,146.40,132.00,343
01/10/2022,133.20,22726,133.20,135.60,130.80,344
01/11/2022,135.60,32862,134.40,139.20,129.60,345
01/12/2022,136.80,26695,140.40,148.80,135.60,346
01/13/2022,141.60,33741,139.20,158.40,138.00,347
01/14/2022,142.80,67785,144.00,145.20,121.20,348
01/18/2022,143.40,50880,162.00,162.00,140.40,349
01/19/2022,159.60,63391,156.00,170.40,148.80,350
01/20/2022,156.00,90406,170.40,182.40,155.40,351
01/21/2022,164.40,164451,218.40,259.20,157.20,352
01/24/2022,295.20,48771,338.40,381.57,294.00,353
01/25/2022,356.40,51115,465.60,465.60,353.40,354
01/26/2022,470.40,45033,464.40,520.81,445.20,355
01/27/2022,439.20,16111,458.40,483.60,438.00,356
01/28/2022,468.00,20098,486.00,526.81,462.00,357
01/31/2022,492.00,33896,500.41,546.01,480.00,358
02/01/2022,561.61,35233,609.61,624.01,550.81,359
02/02/2022,613.21,146437,566.41,693.61,556.81,360
02/03/2022,563.41,80534,609.61,627.61,541.21,361
02/04/2022,614.41,176915,465.60,654.01,460.80,362
02/07/2022,465.60,84320,421.20,552.01,405.53,363
02/08/2022,426.60,31316,474.00,475.20,420.00,364
02/09/2022,451.20,117681,501.61,525.61,416.40,365
02/10/2022,466.80,41423,563.41,565.21,463.34,366
02/11/2022,612.01,30816,716.41,726.01,608.41,367
02/14/2022,751.21,24261,868.81,868.81,744.01,368
02/15/2022,871.81,15758,908.41,909.61,842.41,369
02/16/2022,903.01,19746,"1,009.21","1,100.41",900.01,370
02/17/2022,"1,015.21",27998,981.61,"1,020.01",861.61,371
02/18/2022,"1,012.81",29247,"1,134.01","1,165.21",999.61,372
02/22/2022,"1,137.61",34293,"1,270.81","1,344.01","1,112.89",373
02/23/2022,"1,492.81",1042,"1,728.02","1,944.98","1,450.57",374
02/24/2022,"1,776.02",7079,"1,699.22","1,804.82","1,614.74",375
02/25/2022,"1,728.02",7216,"1,814.42","1,840.34","1,632.98",376
02/28/2022,"1,776.02",10463,"2,035.22","2,133.14","1,708.82",377
03/01/2022,"1,968.02",10128,"2,448.02","2,448.02","1,918.10",378
03/02/2022,"2,388.50",4879,"2,392.34","2,588.19","2,313.62",379
03/03/2022,"2,640.03",6540,"2,123.54","2,640.03","2,123.54",380
03/04/2022,"2,102.42",5277,"2,323.22","2,399.06","2,087.06",381
03/07/2022,"2,321.30",4943,"2,579.55","2,591.07","2,266.58",382
03/08/2022,"2,573.79",3293,"2,693.79","2,716.83","2,496.99",383
03/09/2022,"2,554.59",2853,"2,438.42","2,640.03","2,428.82",384
03/10/2022,"2,524.83",3736,"2,832.03","2,832.03","2,476.82",385
03/11/2022,"2,640.03",3772,"2,668.83","2,688.03","2,438.42",386
03/14/2022,"2,622.75",3067,"2,776.35","2,776.35","2,601.63",387
03/15/2022,"2,784.03",6112,"3,110.43","3,148.83","2,745.63",388
03/16/2022,"3,126.75",4588,"3,258.27","3,327.39","3,091.23",389
03/17/2022,"3,205.47",4733,"3,056.67","3,345.63","3,004.83",390
03/18/2022,"3,168.03",5874,"3,062.43","3,204.51","2,812.83",391
03/21/2022,"3,129.63",11891,"3,072.03","3,306.27","2,943.39",392
03/22/2022,"2,903.07",8216,"2,688.99","2,918.43","2,601.63",393
03/23/2022,"2,464.34",4763,"2,518.11","2,625.63","2,380.82",394
03/24/2022,"2,484.50",3045,"2,620.83","2,748.51","2,452.82",395
03/25/2022,"2,644.83",2891,"2,547.87","2,736.03","2,544.03",396
03/28/2022,"2,592.99",4791,"2,814.75","2,976.03","2,510.43",397
03/29/2022,"2,793.63",3199,"2,688.03","2,801.31","2,592.03",398
